Size,Original,Experimento 1,Experimento2
512x256,236381,544445,466395
512x256,236271,558685,372175
512x256,247988,498718,369920
512x256,241000,501565,396794
512x256,236598,500833,388281
512x256,236290,502897,395294
512x256,238184,939036,376497
512x256,257761,672042,372633
512x256,238880,495939,560969
512x256,242033,501135,370172
512x256,243900,503340,371560
512x256,255768,503279,403949
512x256,969313,504617,667485
512x256,300530,500119,382584
512x256,257002,503482,372213
512x256,238297,501160,384058
512x256,235949,501428,374469
512x256,238973,498384,370981
512x256,236583,499409,373527
512x256,239969,502122,370787
512x256,237149,505369,373090
512x256,235821,526084,370402
800x400,609114,1247416,3183650
800x400,601382,1479077,922396
800x400,589496,1243049,922192
800x400,620078,1499115,918367
800x400,588891,1308298,970643
800x400,651819,1243762,917477
800x400,622400,1542512,969066
800x400,589055,1238399,1003939
800x400,593438,1244605,917251
800x400,620740,2218705,929222
800x400,632163,1247940,946019
800x400,586638,1304260,920948
800x400,622789,1244971,918480
800x400,586454,1448301,921466
800x400,585999,1300874,914242
800x400,590794,1482977,915509
800x400,585863,1243216,919608
800x400,593202,1271207,1100337
800x400,597218,1247186,913613
800x400,585438,1246643,915906
800x400,586554,1254537,917106
800x400,631552,1241515,917727
800x400,587149,1434012,1111314
800x400,587083,1232651,919626
800x400,588538,1238572,1033566
800x400,593515,1237467,920241
800x400,588875,1344877,918755
800x400,589602,1235808,921984
800x400,587399,1441120,1122996
800x400,589973,1236426,920443
800x400,631973,1243195,915854
800x400,589700,1240537,937214
800x400,588319,1238945,923166
800x400,597705,1512765,931554
800x400,706406,1315905,919237
800x400,585085,1237507,1067718
800x400,582764,1236509,1054620
800x400,587113,1241003,932859
800x400,594068,1241268,916949
800x400,599960,1236901,1113507
800x400,589466,1237676,918694
800x400,592389,1266211,913594
800x400,588367,1238100,918637
800x400,877960,1238962,915441
800x400,592704,1237725,916128
800x400,580784,1250567,918490
800x400,588272,1435951,917705
800x400,589664,1239300,951680
800x400,582329,1472515,942383
800x400,588518,1236793,933688
1600x800,2676377,5401390,4002154
1600x800,2651414,5252407,3790907
1600x800,3118435,5346725,3779377
1600x800,3192730,5575716,3960236
1600x800,2633007,5286193,3874999
1600x800,2774826,5179166,8927470
1600x800,2863349,5452869,3812820
1600x800,2937012,5463772,3965277
1600x800,2641777,5377878,3797052
1600x800,2840966,5327507,3997783
1600x800,2671919,5204593,3843489
1600x800,2706424,5281809,4008559
1600x800,2641160,5387283,3747619
1600x800,2625595,5176924,3835494
1600x800,2617447,5731953,3998667
1600x800,2616895,5280125,4558940
1600x800,2702565,5293037,4169975
1600x800,2610498,5366978,3835705
1600x800,2652372,5200953,4083336
1600x800,2969638,5254153,3879222
1600x800,2695542,5265652,3946094
1600x800,2837468,5223033,3780510
1600x800,2704427,5208678,4019847
1600x800,2634784,5283671,4001162
1600x800,2862994,5457508,3759176
1600x800,2633158,5282736,3815352
1600x800,2617502,5136516,3920966
1600x800,2631039,5309184,4095186
1600x800,2648955,5436417,4039816
1600x800,2608004,5264002,3956404
1600x800,3131511,5235352,3850424
1600x800,2905402,5529500,3775834
1600x800,2896526,5374643,4008973
1600x800,3148192,5244755,3781891
1600x800,2643833,5210654,4218714
1600x800,2759857,5257276,3975170
1600x800,2614807,5200020,3803926
1600x800,2594455,5373473,3785238
1600x800,2633585,5169940,4028141
1600x800,2840314,5451270,4142418
1600x800,2878222,5370443,3807997
1600x800,2798204,5200035,3913868
1600x800,2650321,5423482,3802159
1600x800,2642134,5481138,3790796
1600x800,2611626,5298109,3796251
1600x800,2630870,5276228,3776972
1600x800,2601553,5201957,3980885
1600x800,2635562,5216972,3837945
1600x800,2887640,5244723,3953521
1600x800,2635138,5373778,4374134
